userid,bookcount,trainingcount,age,gender,goal,trainingduration,trainingcalorie,trainingtimes,trainingdays,runningtimes,cyclingtimes,hikingtimes,allduration,allcalorie,alltimes,alldays,traininggoal,difficulty,maxcomboday,kg,bmi,joinedplans,plans,vip_expire,bought_package
55cf2e0c347b9d2784fc0e41,5,5,36,F,1,3647.35,26358,231,111,2,-1,9,3953.12,27420,244,114,2,2,11,6,21.09,1,27,NULL,1
56547f21cc51352505ce7d30,1,1,30,F,2,61.02,349,4,3,-1,-1,0,61.02,349,5,3,0,0,2,0,17.99,0,4,NULL,0
566317b9948f012505653aa7,1,0,25,F,2,6041.5,27096,511,240,33,-1,8,7787.7,39571,572,269,0,0,15,8,20.31,0,28,NULL,0
56e7fb7e052fca6708ea4d29,1,0,37,F,1,1915.92,13917,158,62,0,-1,1,2192.3,15107,169,67,0,0,8,5,24.03,1,27,NULL,0
56f914c959173a5f6b74851e,14,13,23,F,2,2168.93,20065,83,74,14,-1,0,2619.67,24789,99,85,2,2,3,2,20.76,1,17,NULL,0
570bafdb618e3630055aee2b,23,22,31,F,1,6873.38,45677,412,187,37,58,0,12907.67,81283,586,275,0,0,60,9,23.57,1,11,NULL,0
5723984852a94a725a91a2a9,1,1,26,F,1,304.63,1533,17,10,-1,-1,0,304.63,1533,18,10,1,1,2,2,19.82,1,9,NULL,0
5752cad10d26cb3e05db1af0,1,1,29,F,2,699.72,2318,44,31,-1,-1,12,1021.07,2971,59,37,2,2,7,3,17.26,1,24,NULL,0
575819ecc2ae49862445d48d,0,0,34,F,2,6554.48,37564,403,261,68,3,698,28240.45,118358,1248,426,2,2,74,10,20.66,0,147,NULL,0
578ad7107d45b72a26ec0829,3,3,32,F,2,8350.53,42772,524,249,102,35,192,15830.38,78193,868,340,2,2,23,10,19.29,0,11,2018-12-21 23:59:59,0
5795abf8f3ff8ee4485292fb,1,1,28,F,1,13,62,0,1,-1,-1,0,13.55,64,2,2,0,0,1,0,0,1,1,NULL,0
579f36629c715c9906c298d0,3,2,33,F,1,1548.23,5892,112,54,4,2,0,1734.32,6984,122,57,0,0,3,4,20.12,1,40,NULL,0
57a4488ba2a7b93153c2b787,2,0,24,M,3,2679.08,18209,190,101,20,-1,110,6349.45,50185,322,143,2,2,15,6,23.55,0,22,NULL,0
57c06db4234530c33dd81ce0,1,0,38,F,2,7487.07,34145,537,227,26,134,47,17045.77,82628,812,306,1,2,50,10,18.75,1,32,NULL,0
5801de6b4933036dfec83bb8,0,0,36,F,2,3056,16310,243,127,0,-1,0,3158.42,16847,248,129,2,2,7,3,17.65,1,31,NULL,0
582bab15493303326f68eec2,4,2,40,F,2,615.1,2320,46,22,-1,-1,9,974.07,3682,57,29,2,1,3,3,20.7,1,27,NULL,1
